symbol,name,industry,enabled
NIVABUPA,Niva Bupa Health Insurance Company Ltd.,Financial Services,true
NUVAMA,Nuvama Wealth Management Ltd.,Financial Services,true
NUVOCO,Nuvoco Vistas Corporation Ltd.,Construction Materials,true
OBEROIRLTY,Oberoi Realty Ltd.,Realty,true
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,true
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,true
OLAELEC,Ola Electric Mobility Ltd.,Automobile and Auto Components,true
OLECTRA,Olectra Greentech Ltd.,Automobile and Auto Components,true
PAYTM,One 97 Communications Ltd.,Financial Services,true
ONESOURCE,Onesource Specialty Pharma Ltd.,Healthcare,true
OFSS,Oracle Financial Services Software Ltd.,Information Technology,true
POLICYBZR,PB Fintech Ltd.,Financial Services,true
PCBL,PCBL Chemical Ltd.,Chemicals,true
PGEL,PG Electroplast Ltd.,Consumer Durables,true
PIIND,PI Industries Ltd.,Chemicals,true
PNBHOUSING,PNB Housing Finance Ltd.,Financial Services,true
PTCIL,PTC Industries Ltd.,Capital Goods,true
PVRINOX,PVR INOX Ltd.,Media Entertainment & Publication,true
PAGEIND,Page Industries Ltd.,Textiles,true
PARADEEP,Paradeep Phosphates Ltd.,Chemicals,true
PATANJALI,Patanjali Foods Ltd.,Fast Moving Consumer Goods,true
PERSISTENT,Persistent Systems Ltd.,Information Technology,true
PETRONET,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,true
PFIZER,Pfizer Ltd.,Healthcare,true
PHOENIXLTD,Phoenix Mills Ltd.,Realty,true
PWL,Physicswallah Ltd.,Consumer Services,true
PIDILITIND,Pidilite Industries Ltd.,Chemicals,true
PINELABS,Pine Labs Ltd.,Financial Services,true
PIRAMALFIN,Piramal Finance Ltd.,Financial Services,true
PPLPHARMA,Piramal Pharma Ltd.,Healthcare,true
POLYMED,Poly Medicure Ltd.,Healthcare,true
POLYCAB,Polycab India Ltd.,Capital Goods,true
POONAWALLA,Poonawalla Fincorp Ltd.,Financial Services,true
PFC,Power Finance Corporation Ltd.,Financial Services,true
POWERGRID,Power Grid Corporation of India Ltd.,Power,true
PREMIERENE,Premier Energies Ltd.,Capital Goods,true
PRESTIGE,Prestige Estates Projects Ltd.,Realty,true
PNB,Punjab National Bank,Financial Services,true
RRKABEL,R R Kabel Ltd.,Capital Goods,true
RBLBANK,RBL Bank Ltd.,Financial Services,true
RECLTD,REC Ltd.,Financial Services,true
RHIM,RHI MAGNESITA INDIA LTD.,Capital Goods,true
RITES,RITES Ltd.,Construction,true
RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods,true
RVNL,Rail Vikas Nigam Ltd.,Construction,true
RAILTEL,Railtel Corporation Of India Ltd.,Telecommunication,true
RAINBOW,Rainbow Childrens Medicare Ltd.,Healthcare,true
RKFORGE,Ramkrishna Forgings Ltd.,Automobile and Auto Components,true
REDINGTON,Redington Ltd.,Services,true
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,true
RPOWER,Reliance Power Ltd.,Power,true
SBFC,SBFC Finance Ltd.,Financial Services,true
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services,true
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,true
SJVN,SJVN Ltd.,Power,true
SRF,SRF Ltd.,Chemicals,true
SAGILITY,Sagility Ltd.,Information Technology,true
SAILIFE,Sai Life Sciences Ltd.,Healthcare,true
SAMMAANCAP,Sammaan Capital Ltd.,Financial Services,true
