symbol,name,industry,series,isin,exchange,trading_symbol,scrip_code,search_aliases,enabled
BSE:526841,Shakti Press Ltd,BSE Equity,XT,INE794C01016,BSE,SHAKTIPR,526841,526841 SHAKTIPR INE794C01016 Shakti Press Ltd,true
BSE:526847,Ashirwad Steels & Industries Ltd,BSE Equity,X,INE338C01012,BSE,ASHSI,526847,526847 ASHSI INE338C01012 Ashirwad Steels & Industries Ltd,true
BSE:526851,Arex Industries Ltd,BSE Equity,X,INE480H01011,BSE,AREXMIS,526851,526851 AREXMIS INE480H01011 Arex Industries Ltd,true
BSE:526859,ISF Ltd,BSE Equity,X,INE973B01026,BSE,ISFL,526859,526859 ISFL INE973B01026 ISF Ltd,true
BSE:526861,Rishi Laser Ltd,BSE Equity,X,INE988D01012,BSE,RISHILASE,526861,526861 RISHILASE INE988D01012 Rishi Laser Ltd,true
BSE:526865,Jainco Projects India Ltd,BSE Equity,X,INE966C01010,BSE,JAINCO,526865,526865 JAINCO INE966C01010 Jainco Projects India Ltd,true
BSE:526869,Kumbhat Financial Services Ltd,BSE Equity,X,INE795E01019,BSE,KUMPFIN,526869,526869 KUMPFIN INE795E01019 Kumbhat Financial Services Ltd,true
BSE:526871,Intec Capital Ltd,BSE Equity,XT,INE017E01018,BSE,INTECCAP,526871,526871 INTECCAP INE017E01018 Intec Capital Ltd,true
BSE:526873,Rajasthan Securities Ltd,BSE Equity,X,INE184D01026,BSE,RAJSEC,526873,526873 RAJSEC INE184D01026 Rajasthan Securities Ltd,true
BSE:526877,Siddheswari Garments Ltd,BSE Equity,X,INE797C01019,BSE,SIDDHEGA,526877,526877 SIDDHEGA INE797C01019 Siddheswari Garments Ltd,true
BSE:526887,Indo Credit Capital Ltd,BSE Equity,XT,INE147D01015,BSE,INDOCRED,526887,526887 INDOCRED INE147D01015 Indo Credit Capital Ltd,true
BSE:526891,Market Creators Ltd,BSE Equity,X,INE944C01017,BSE,MKTCREAT,526891,526891 MKTCREAT INE944C01017 Market Creators Ltd,true
BSE:526899,Himalaya Food International Ltd,BSE Equity,X,INE552B01010,BSE,HFIL,526899,526899 HFIL INE552B01010 Himalaya Food International Ltd,true
BSE:526901,Sonal Adhesives Ltd,BSE Equity,X,INE344I01017,BSE,SONALAD,526901,526901 SONALAD INE344I01017 Sonal Adhesives Ltd,true
BSE:526905,Padmanabh Industries Ltd,BSE Equity,XT,INE743D01011,BSE,PADMAIND,526905,526905 PADMAIND INE743D01011 Padmanabh Industries Ltd,true
BSE:526931,Hariyana Ship Breakers Ltd,BSE Equity,X,INE400G01011,BSE,HRYNSHP,526931,526931 HRYNSHP INE400G01011 Hariyana Ship Breakers Ltd,true
BSE:526935,Kalind Ltd,BSE Equity,XT,INE377D01026,BSE,KALIND,526935,526935 KALIND INE377D01026 Kalind Ltd,true
BSE:526941,Vaishno Cement Company Ltd,BSE Equity,P,INE116E01018,BSE,VAICC,526941,526941 VAICC INE116E01018 Vaishno Cement Company Ltd,true
BSE:526945,Tyroon Tea Company Ltd,BSE Equity,X,INE945B01016,BSE,TYROON,526945,526945 TYROON INE945B01016 Tyroon Tea Company Ltd,true
BSE:526961,Last Mile Enterprises Ltd,BSE Equity,XT,INE404B01022,BSE,LASTMILE,526961,526961 LASTMILE INE404B01022 Last Mile Enterprises Ltd,true
BSE:526965,Gujarat Craft Industries Ltd,BSE Equity,X,INE372D01019,BSE,GUJCRAFT,526965,526965 GUJCRAFT INE372D01019 Gujarat Craft Industries Ltd,true
BSE:526967,Heera Ispat Ltd,BSE Equity,X,INE025D01013,BSE,HEERAISP,526967,526967 HEERAISP INE025D01013 Heera Ispat Ltd,true
BSE:526971,Dhoot Industrial Finance Ltd,BSE Equity,X,INE313G01016,BSE,DHOOTIN,526971,526971 DHOOTIN INE313G01016 Dhoot Industrial Finance Ltd,true
BSE:526977,Crimson Metal Engineering Company Ltd,BSE Equity,P,INE318P01016,BSE,CRIMSON,526977,526977 CRIMSON INE318P01016 Crimson Metal Engineering Company Ltd,true
BSE:527005,Shree Pacetronix Ltd,BSE Equity,X,INE847D01010,BSE,SHREEPAC,527005,527005 SHREEPAC INE847D01010 Shree Pacetronix Ltd,true
BSE:530025,Samyak International Ltd,BSE Equity,X,INE607G01011,BSE,SAMYAKINT,530025,530025 SAMYAKINT INE607G01011 Samyak International Ltd,true
BSE:530027,Aadi Industries Ltd,BSE Equity,X,INE563D01013,BSE,AADIIND,530027,530027 AADIIND INE563D01013 Aadi Industries Ltd,true
BSE:530037,Sparkle Gold Rock Ltd,BSE Equity,X,INE618F01010,BSE,SPARKLEGR,530037,530037 SPARKLEGR INE618F01010 Sparkle Gold Rock Ltd,true
BSE:530043,Acknit Industries Ltd,BSE Equity,X,INE326C01017,BSE,ACKNIT,530043,530043 ACKNIT INE326C01017 Acknit Industries Ltd,true
BSE:530045,Titan Securities Ltd,BSE Equity,X,INE090D01017,BSE,TITANSEC,530045,530045 TITANSEC INE090D01017 Titan Securities Ltd,true
BSE:530053,Real Eco-Energy Ltd,BSE Equity,X,INE055E01034,BSE,REALECO,530053,530053 REALECO INE055E01034 Real Eco-Energy Ltd,true
BSE:530057,Vivanza Biosciences Ltd,BSE Equity,X,INE984E01035,BSE,VIVANZA,530057,530057 VIVANZA INE984E01035 Vivanza Biosciences Ltd,true
BSE:530063,Yashraj Containeurs Ltd,BSE Equity,XT,INE095C01018,BSE,YASHRAJC,530063,530063 YASHRAJC INE095C01018 Yashraj Containeurs Ltd,true
BSE:530065,Lords Ishwar Hotels Ltd,BSE Equity,X,INE689J01013,BSE,LORDSHOTL,530065,530065 LORDSHOTL INE689J01013 Lords Ishwar Hotels Ltd,true
BSE:530077,Puretrop Fruits  Ltd,BSE Equity,X,INE795D01011,BSE,PURETROP,530077,530077 PURETROP INE795D01011 Puretrop Fruits  Ltd,true
